Test Case,Our Metrics_Distance Metric,Our Metrics_Visibility Metric,Our Metrics_Legibility Metric,Our Metrics_Nominal Trajectory Metric,Distance + Visibility_Distance Metric,Distance + Visibility_Visibility Metric,Distance + Visibility_Legibility Metric,Distance + Visibility_Nominal Trajectory Metric,Legibility_Distance Metric,Legibility_Visibility Metric,Legibility_Legibility Metric,Legibility_Nominal Trajectory Metric,Nominal Trajectory_Distance Metric,Nominal Trajectory_Visibility Metric,Nominal Trajectory_Legibility Metric,Nominal Trajectory_Nominal Trajectory Metric,Speed Control_Distance Metric,Speed Control_Visibility Metric,Speed Control_Legibility Metric,Speed Control_Nominal Trajectory Metric
3008,0.0 +/- 0.0,1.0 +/- 0.0,0.15562764856610312 +/- 0.0,0.21649624837001433 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.20211503067916536 +/- 0.0,13.658413995401034 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.3801111572364815 +/- 0.0,14.71007664345863 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.15206381626499743 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,-0.005477408102270376 +/- 0.0,0.41011906892835975 +/- 0.0
3008,0.0 +/- 0.0,1.0 +/- 0.0,0.14439415649372422 +/- 0.0,2.4705180905590276 +/- 0.0,0.875 +/- 0.0,1.0 +/- 0.0,0.44882280505183114 +/- 0.0,42.180508341115306 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.4252371297471419 +/- 0.0,23.12989383714066 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.03866679354757552 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,-0.0025663890755402985 +/- 0.0,0.8123476698651311 +/- 0.0
3008,0.0 +/- 0.0,1.0 +/- 0.0,0.05924414787589516 +/- 0.0,1.0346708951723669 +/- 0.0,0.875 +/- 0.0,1.0 +/- 0.0,0.44882280505183114 +/- 0.0,42.180508341115306 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.4252371297471419 +/- 0.0,23.12989383714066 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.03866679354757552 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,-0.0025663890755402985 +/- 0.0,0.8123476698651311 +/- 0.0
520,0.85 +/- 0.0,1.0 +/- 0.0,0.01215824188965886 +/- 0.0,0.0016847419664801253 +/- 0.0,0.925 +/- 0.0,1.0 +/- 0.0,-0.015702905898655972 +/- 0.0,2.676528523649447 +/- 0.0,0.655 +/- 0.0,1.0 +/- 0.0,0.4636493246327661 +/- 0.0,6.355135693106499 +/- 0.0,0.835 +/- 0.0,1.0 +/- 0.0,0.012127524199010531 +/- 0.0,0.0 +/- 0.0,0.835 +/- 0.0,1.0 +/- 0.0,0.0121172801429692 +/- 0.0,0.0010173844135645499 +/- 0.0
3014,0.0 +/- 0.0,0.0 +/- 0.0,0.1625072960160765 +/- 0.0,3.429845205829975 +/- 0.0,0.0 +/- 0.0,0.885 +/- 0.0,0.16806727967007096 +/- 0.0,8.264410196335742 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.3801111572364815 +/- 0.0,14.71007664345863 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.15206381626499743 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,-0.005393241546058913 +/- 0.0,0.4242096180511417 +/- 0.0
4000,1.0 +/- 0.0,1.0 +/- 0.0,0.15206381626499743 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.16176047698165064 +/- 0.0,11.194515928574134 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.3801111572364815 +/- 0.0,14.71007664345863 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.15206381626499743 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,-0.007296618870951566 +/- 0.0,4.831007301127788e-15 +/- 0.0
4003,1.0 +/- 0.0,1.0 +/- 0.0,0.03866679354757552 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.29915701154375285 +/- 0.0,16.15168903243912 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.4252371297471419 +/- 0.0,23.12989383714066 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.03866679354757552 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,-0.006469367494195133 +/- 0.0,5.635564032340658e-15 +/- 0.0
4003,1.0 +/- 0.0,1.0 +/- 0.0,0.15206381626499743 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.15159742568085688 +/- 0.0,1.4272423697601886 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.3801111572364815 +/- 0.0,14.71007664345863 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.15206381626499743 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,-0.007296618870951566 +/- 0.0,4.831007301127788e-15 +/- 0.0
4004,1.0 +/- 0.0,1.0 +/- 0.0,0.15206381626499743 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.16054886232955645 +/- 0.0,2.66032372304162 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.3801111572364815 +/- 0.0,14.71007664345863 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.15206381626499743 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,-0.007296618870951566 +/- 0.0,4.831007301127788e-15 +/- 0.0
4006,1.0 +/- 0.0,1.0 +/- 0.0,0.15206381626499743 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.14746721772785043 +/- 0.0,3.611346120989669 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.3801111572364815 +/- 0.0,14.71007664345863 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.15206381626499743 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,-0.007296618870951566 +/- 0.0,4.831007301127788e-15 +/- 0.0
